"Case","Case_Name","Region","Status","Date_Filed","Date_Closed","Reason_Closed","City","State","Unit ID","Ballot_Type","Tally_Type","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Allegations","Union","Unit Sought","Voters","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National","National_Count","Margin","Union_Cer","Didnt_Vote","lat","long","formatted_address","accuracy","accuracy_type","source","address_components.city","address_components.county","address_components.state","address_components.zip","address_components.country","seached","lat_jit","long_jit"
"01-RC-287618","Starbucks Corporation","Region 01, Boston, Massachusetts","Closed",2021-12-13,2022-04-20,"Certific. of Representative","Allston","MA","A","Single Labor Organization","Initial",2022-04-11,29,NA,"WORKERS UNITED",11,"",NA,"",NA,0,11,"",5,"","WORKERS UNITED","All full-time and regular part-time baristas and shift managers performing work at the Employer’s store #22253 located at 1304 Commonwealth Ave., Allston, MA, 02134, excluding all store managers, office clericals, guards, and supervisors as defined in the Act.

Others permitted to vote: The Assistant Store Managers may vote in the election but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in this classification are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.","","","","","Workers United","Included:  All full-time and regular part-time Baristas, Shift Managers, Asst. Store Managers.  Excluded:  Store Managers; office clericals, guards, and supervisors as defined by the Act.",29,119,2022-04-01,2021-10-01,"26-50",TRUE,"RC","Yes","WORKERS UNITED","WU",1,1,"Yes",18,42.35843,-71.12589,"Allston, MA 02134",1,"place","TIGER/Line® dataset from the US Census Bureau","Allston","Suffolk County","MA","2134","US",1,41.8605898918829,-71.1183214294476
"01-RC-287639","Starbucks Corporation","Region 01, Boston, Massachusetts","Closed",2021-12-13,2022-04-20,"Certific. of Representative","Brookline","MA","A","Single Labor Organization","Initial",2022-04-11,21,NA,"Chicago & Midwest Regional Joint Board - Workers United/SEIU",14,"",NA,"",NA,0,16,"",2,"","Chicago & Midwest Regional Joint Board - Workers United/SEIU","All full-time and regular part-time baristas and shift managers performing work at the Employer’s store #867 located at 277 Harvard St., Brookline, MA, 02446, excluding all store managers, office clericals, guards, and supervisors as defined in the Act.

No determination has been made concerning the eligibility of the Assistant Store Managers, as such the employees in this classification, if any, are allowed to vote subject to challenge, with a decision on the eligibility of these individuals to be resolved in a post-election proceeding, if necessary.","","","","","Chicago & Midwest Regional Joint Board - Workers United/SEIU","Included: All full-time and regular part-time Baristas, Shift Managers, Asst. Store Managers.  Excluded:  Store Managers; office clerical, guards, and supervisors as defined by the Act.",21,119,2022-04-01,2021-10-01,"11-25",TRUE,"RC","Yes","Chicago & Midwest Regional Joint Board - Workers United/SEIU","WU",1,1,"Yes",7,42.308198,-71.088745,"Brookline, MA 02146",1,"place","TIGER/Line® dataset from the US Census Bureau","Brookline","Suffolk County","MA","2146","US",1,42.6257564389828,-70.9965383782246
"01-RC-289055","Starbucks Corporation","Region 01, Boston, Massachusetts","Closed",2022-01-18,2022-05-11,"Certific. of Representative","Boston","MA","A","Single Labor Organization","Initial",2022-05-03,14,NA,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",7,"",NA,"",NA,0,9,"",2,"","Chicago and Midwest Regional Joint Board, Workers United/SEIU","All full-time and regular part-time baristas and shift managers performing work at the Employer’s store #52691 located at 217 Western Avenue, Boston, MA 02134, excluding all store managers, office clericals, guards, and supervisors as defined in the Act.","","","","","Workers United a/w SEIU","Included: All full-time and regular part-time Baristas, Shift Managers, Asst. Store Managers.
Excluded: Store Managers, office clericals, guards, and supervisors as defined by the Act.",14,105,2022-04-01,2022-01-01,"11-25",TRUE,"RC","Yes","Chicago and Midwest Regional Joint Board, Workers United/SEIU","WU",1,1,"Yes",7,42.354318,-71.073449,"Boston, MA 02106",1,"place","TIGER/Line® dataset from the US Census Bureau","Boston","Suffolk County","MA","2106","US",1,42.1354116337337,-71.2590712073548
"01-RC-289077","Starbucks Corporation","Region 01, Boston, Massachusetts","Closed",2022-01-18,2022-05-11,"Certific. of Representative","Brighton","MA","A","Single Labor Organization","Initial",2022-05-03,22,NA,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",8,"",NA,"",NA,2,14,"",4,"","Chicago and Midwest Regional Joint Board, Workers United/SEIU","All full-time and regular part-time baristas and shift managers performing work at the Employer’s store #16439 located at 1948 Beacon Street, Brighton, MA 02135, excluding all store managers, office clericals, guards, and supervisors as defined in the Act.","","","","","Workers United a/w SEIU","Included: All full-time and regular part-time Baristas, Shift Managers, Asst. Store Managers.
Excluded: Store Managers, office clericals, guards, and supervisors as defined by the Act.",22,105,2022-04-01,2022-01-01,"11-25",TRUE,"RC","Yes","Chicago and Midwest Regional Joint Board, Workers United/SEIU","WU",1,0.8,"Yes",12,42.3501,-71.15644,"Brighton, MA 02135",1,"place","TIGER/Line® dataset from the US Census Bureau","Brighton","Suffolk County","MA","2135","US",1,42.7967581328306,-70.8113885751893
"01-RC-289330","Starbucks Corporation","Region 01, Boston, Massachusetts","Closed",2022-01-21,2022-05-11,"Certific. of Representative","Watertown","MA","A","Single Labor Organization","Initial",2022-05-03,27,NA,"WORKERS UNITED",10,"",NA,"",NA,1,11,"",2,"","WORKERS UNITED","All full-time and regular part-time baristas and shift managers performing work at the Employer’s store #7382 located at 75 Mt. Auburn Street, Watertown, MA 02472, excluding all store managers, office clericals, guards, and supervisors as defined in the Act.","","","","","Workers United","Included: All full-time and regular part-time Baristas, Shift Managers, Asst Store Managers. Excluded: Store Managers, office clericals, guards, and supervisors as defined by the Act",27,102,2022-04-01,2022-01-01,"26-50",TRUE,"RC","Yes","WORKERS UNITED","WU",1,0.909090909090909,"Yes",16,42.372596,-71.177998,"Watertown, MA 02172",1,"place","TIGER/Line® dataset from the US Census Bureau","Watertown","Middlesex County","MA","2172","US",1,42.6445322156931,-71.5665665922578
"01-RC-289350","Starbucks Corporation","Region 01, Boston, Massachusetts","Closed",2022-01-21,2022-05-11,"Certific. of Representative","Boston","MA","A","Single Labor Organization","Initial",2022-05-03,15,NA,"Mid Atlantic Regional Joint Board, Workers United",5,"",NA,"",NA,0,7,"",2,"","Mid Atlantic Regional Joint Board, Workers United","All full-time and regular part-time baristas and shift managers performing work at the Employer’s store #7224 located at 364 Brookline Avenue, Boston, MA 02215, excluding all store managers, office clericals, guards, and supervisors as defined in the Act.","","","","","Workers United","Included:  All full-time and regular part-time Baristas, Shift Managers, Asst. Store Managers.  Excluded:  Store Managers, office clericals, guards and supervisors as defined by the Act.",15,102,2022-04-01,2022-01-01,"11-25",TRUE,"RC","Yes","Mid Atlantic Regional Joint Board, Workers United","WU",1,1,"Yes",10,42.354318,-71.073449,"Boston, MA 02106",1,"place","TIGER/Line® dataset from the US Census Bureau","Boston","Suffolk County","MA","2106","US",1,41.9353639950007,-70.7966985269272
"01-RC-290847","Starbucks Corporation","Region 01, Boston, Massachusetts","Closed",2022-02-17,2022-07-11,"Certification of Results","Newtonville","MA","A","Single Labor Organization","Initial",2022-06-30,12,NA,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",2,"",NA,"",NA,5,7,"",2,"","","All full-time and regular part-time baristas performing work at the Employer’s store #7384 located at 16-18 Austin St., Newtonville, MA 02460, excluding all store managers, shift managers, office clericals, guards, and supervisors as defined in the Act.

No determination has been made concerning the eligibility of the Assistant Store Managers, as such the employees in this classification, if any, are allowed to vote subject to challenge, with a decision on the eligibility of these individuals to be resolved in a post-election proceeding, if necessary.","","","","","","Included:  All full-time and regular part-time Baristas, Shift Managers, Asst. Store Managers.  Excluded:  Store Managers, office clericals, guards, and supervisors as defined by the Act.",12,133,2022-04-01,2022-01-01,"11-25",TRUE,"RC","Yes","Chicago and Midwest Regional Joint Board, Workers United/SEIU","WU",1,0.285714285714286,"No",5,42.351824,-71.20849,"Newtonville, MA 02460",1,"place","TIGER/Line® dataset from the US Census Bureau","Newtonville","Middlesex County","MA","2460","US",1,41.866645521705,-71.4184815454164
"01-RC-290850","Starbucks Corporation","Region 01, Boston, Massachusetts","Closed",2022-02-17,2022-07-22,"Certification of Results","Boston","MA","A","Revised Single Labor Org","Initial",2022-07-14,13,1,"Chicago & Midwest Regional Joint Board - Workers United/SEIU",4,"",NA,"",NA,10,11,"",1,"","","All full-time and regular part-time baristas and shift managers performing work at the Employer’s store #10599 located at 125 Summer St., Boston, MA 02111, excluding all store managers, office clericals, guards, and supervisors as defined in the Act.

No determination has been made concerning the eligibility of the Assistant Store Managers, as such the employees in this classification, if any, are allowed to vote subject to challenge, with a decision on the eligibility of these individuals to be resolved in a post-election proceeding, if necessary.","","","","","","Included: All full-time and regular part-time Baristas, Shift Managers, Asst. Store Managers. Excluded: Store Managers, office clericals, guards, and supervisors as defined by the Act.",13,147,2022-07-01,2022-01-01,"11-25",TRUE,"RC","Yes","Chicago & Midwest Regional Joint Board - Workers United/SEIU","WU",1,0.285714285714286,"No",-1,42.354318,-71.073449,"Boston, MA 02106",1,"place","TIGER/Line® dataset from the US Census Bureau","Boston","Suffolk County","MA","2106","US",1,42.5234751115516,-70.7025089654894
"01-RC-290851","Starbucks Corporation","Region 01, Boston, Massachusetts","Closed",2022-02-17,2022-07-11,"Certific. of Representative","Cambridge","MA","A","Single Labor Organization","Initial",2022-06-30,26,1,"Workers United",6,"",NA,"",NA,0,8,"",2,"","Workers United","All full-time and regular part-time baristas and shift managers performing work at the Employer’s store #8742 located at 120 Broadway, Cambridge, MA 02142, excluding all store managers, office clericals, guards, and supervisors as defined in the Act.

No determination has been made concerning the eligibility of the Assistant Store Managers, as such the employees in this classification, if any, are allowed to vote subject to challenge, with a decision on the eligibility of these individuals to be resolved in a post-election proceeding, if necessary.","","","","","Workers United a/w SEIU","Included: All full-time and regular part-time Baristas, Shift Managers, Asst. Store Managers.
Excluded: Store Managers, Office Clericals, Guards, and Supervisors as defined by the Act.",26,133,2022-04-01,2022-01-01,"26-50",TRUE,"RC","Yes","Workers United","WU",1,1,"Yes",20,42.380442,-71.132947,"Cambridge, MA 02138",1,"place","TIGER/Line® dataset from the US Census Bureau","Cambridge","Middlesex County","MA","2138","US",1,42.3499892791791,-70.6671323564605
"01-RC-292142","Starbucks Corporation","Region 01, Boston, Massachusetts","Closed",2022-03-14,2022-05-27,"Certific. of Representative","Waban","MA","A","Single Labor Organization","Initial",2022-05-19,23,NA,"Workers United",12,"",NA,"",NA,0,12,"",3,"","Workers United","All full-time and regular part-time baristas employed by the Employer at its 474 Woodward Street, Waban, MA 02468 facility (Store #835); but excluding store managers, office clerical employees and guards, professional employees and supervisors as defined in the Act.

Others permitted to vote: The parties have agreed that Shift Managers may vote in the election but their ballots may be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.","","","","","Workers United a/w SEIU","Included:  All full-time and regular part-time Baristas, Shift Managers, Asst. Store Managers.  Excluded:  Store Managers, Office clericals, guards and supervisors as defined by the Act.",23,66,2022-04-01,2022-01-01,"11-25",TRUE,"RC","Yes","Workers United","WU",1,1,"Yes",11,42.446396,-71.459405,"Waban, MA 02168",1,"place","TIGER/Line® dataset from the US Census Bureau","Waban","Middlesex County","MA","2168","US",1,42.3295141882415,-71.9496916829652
